root_id,upstream_set_2_2Ns,set_2_syn_count,const,input_synapses,pct_set_2_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940612910376,2,28,1,28,100.0,14.0,projection,471
720575940612920386,3,1536,1,1536,100.0,512.0,local,0
720575940612921571,1,56,1,56,100.0,56.0,local,0
720575940612921581,2,30,1,30,100.0,15.0,projection,26
720575940612942289,2,62,1,62,100.0,31.0,projection,62
720575940612950642,3,91,1,91,100.0,30.333333333333332,local,0
720575940612952557,18,884,1,884,100.0,49.111111111111114,local,0
720575940612999909,1,14,1,14,100.0,14.0,projection,13
720575940613003669,1,10,1,10,100.0,10.0,projection,113
720575940613016805,1,40,1,40,100.0,40.0,projection,109
720575940613053393,1,12,1,12,100.0,12.0,projection,177
720575940613061118,3,672,1,672,100.0,224.0,local,0
720575940613071313,1,84,1,84,100.0,84.0,projection,68
720575940613080751,4,301,1,301,100.0,75.25,local,0
720575940613093010,1,42,1,42,100.0,42.0,projection,54
720575940613106582,5,282,1,282,100.0,56.4,projection,23
720575940613107119,1,10,1,10,100.0,10.0,projection,145
720575940613120721,1,25,1,25,100.0,25.0,local,0
720575940613170385,13,825,1,825,100.0,63.46153846153846,local,0
720575940613203119,1,10,1,10,100.0,10.0,projection,4239
720575940613213165,2,40,1,40,100.0,20.0,projection,52
720575940613224446,1,51,1,51,100.0,51.0,projection,53
720575940613233891,2,180,1,180,100.0,90.0,projection,65
720575940613234897,1,18,1,18,100.0,18.0,projection,98
720575940613253091,1,42,1,42,100.0,42.0,projection,174
720575940613258221,2,18,1,18,100.0,9.0,projection,1542
720575940613277491,2,63,1,63,100.0,31.5,projection,17
720575940613286637,1,42,1,42,100.0,42.0,projection,96
720575940613347299,2,40,1,40,100.0,20.0,projection,12
720575940613353169,1,50,1,50,100.0,50.0,projection,92
720575940613356851,6,286,1,286,100.0,47.666666666666664,local,0
720575940613407647,1,18,1,18,100.0,18.0,projection,30
720575940613419506,2,15,1,15,100.0,7.5,projection,51
720575940613428707,1,10,1,10,100.0,10.0,projection,613
720575940613463859,1,25,1,25,100.0,25.0,projection,70
720575940613478963,1,25,1,25,100.0,25.0,projection,51
720575940613480159,1,9,1,9,100.0,9.0,local,0
720575940613481282,1,14,1,14,100.0,14.0,projection,618
720575940613493485,2,86,1,86,100.0,43.0,projection,368
720575940613511987,1,40,1,40,100.0,40.0,projection,433
720575940613524647,1,32,1,32,100.0,32.0,projection,94
720575940613530349,1,20,1,20,100.0,20.0,projection,184
720575940613533607,6,94,1,94,100.0,15.666666666666666,local,0
720575940613563117,6,855,1,855,100.0,142.5,local,0
720575940613583001,2,57,1,57,100.0,28.5,projection,32076
720575940613590501,2,22,1,22,100.0,11.0,projection,4390
720575940613604162,3,58,1,58,100.0,19.333333333333332,projection,5
720575940613613721,1,10,1,10,100.0,10.0,projection,147
720575940613640685,7,182,1,182,100.0,26.0,local,0
720575940613646565,1,15,1,15,100.0,15.0,projection,108
720575940613647007,1,10,1,10,100.0,10.0,projection,7
720575940613668266,1,38,1,38,100.0,38.0,projection,2054
720575940613687789,15,1427,1,1427,100.0,95.13333333333334,projection,40
720575940613691559,1,7,1,7,100.0,7.0,projection,231
720575940613695346,4,40,1,40,100.0,10.0,local,0
720575940613743569,3,111,1,111,100.0,37.0,local,0
720575940613746087,1,28,1,28,100.0,28.0,projection,650
720575940613747734,8,213,1,213,100.0,26.625,local,0
720575940613754833,1,6,1,6,100.0,6.0,projection,66
720575940613786774,2,130,1,130,100.0,65.0,local,0
720575940613797295,1,6,1,6,100.0,6.0,projection,118
720575940613804259,1,12,1,12,100.0,12.0,projection,4607
720575940613809071,1,96,1,96,100.0,96.0,projection,1031
720575940613816626,2,112,1,112,100.0,56.0,projection,32
720575940613828202,11,482,1,482,100.0,43.81818181818182,local,0
720575940613838289,1,11,1,11,100.0,11.0,projection,386
720575940613858046,4,58,1,58,100.0,14.5,projection,58
720575940613865110,1,9,1,9,100.0,9.0,projection,363
720575940613870242,1,10,1,10,100.0,10.0,projection,962
720575940613871046,1,12,1,12,100.0,12.0,projection,104
720575940613877423,2,27,1,27,100.0,13.5,projection,576
720575940613895934,1,13,1,13,100.0,13.0,projection,653
720575940613898449,1,104,1,104,100.0,104.0,projection,357
720575940613903778,1,5,1,5,100.0,5.0,projection,254
